股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
2882A,2019-05-16,2019-05-17,64.2,64.1,-0.16,1,失敗
3028,2019-05-16,2019-05-17,22.4,22.4,0.0,1,失敗
5522,2019-05-16,2019-05-20,37.4,37.4,0.0,4,失敗
00668,2019-05-17,2019-05-24,28.4,28.49,0.32,7,勝利
1310,2019-05-17,2019-05-20,24.45,24.15,-1.23,3,失敗
1409,2019-05-17,2019-05-20,13.1,13.2,0.76,3,勝利
2204,2019-05-17,2019-05-20,27.8,27.65,-0.54,3,失敗
2801,2019-05-17,2019-05-24,18.35,19.2,4.63,7,勝利
00653L,2019-05-20,2019-05-27,30.9,32.0,3.56,7,勝利
1402,2019-05-20,2019-05-21,32.6,32.05,-1.69,1,失敗
2889,2019-05-20,2019-05-21,10.3,10.35,0.49,1,勝利
3708,2019-05-20,2019-05-21,95.2,92.9,-2.42,1,失敗
3010,2019-05-21,2019-05-22,53.5,53.7,0.37,1,勝利
5880,2019-05-21,2019-05-22,20.15,20.05,-0.5,1,失敗
2379,2019-05-22,2019-05-23,211.0,206.0,-2.37,1,失敗
2495,2019-05-22,2019-05-29,13.9,13.2,-5.04,7,失敗
9925,2019-05-22,2019-05-23,38.15,38.0,-0.39,1,失敗
6533,2019-05-23,2019-05-24,113.0,108.0,-4.42,1,失敗
5288,2019-05-24,2019-05-29,150.0,143.5,-4.33,5,失敗
1504,2019-05-27,2019-05-28,22.1,22.75,2.94,1,勝利
1558,2019-05-27,2019-05-28,145.5,150.5,3.44,1,勝利
1808,2019-05-27,2019-05-29,65.3,64.9,-0.61,2,失敗
2204,2019-05-27,2019-05-28,27.6,27.45,-0.54,1,失敗
2530,2019-05-27,2019-05-29,16.6,15.8,-4.82,2,失敗
1301,2019-05-28,2019-05-29,110.0,109.0,-0.91,1,失敗
2373,2019-05-28,2019-05-29,96.8,95.9,-0.93,1,失敗
1513,2019-05-29,2019-05-30,20.8,20.8,0.0,1,失敗
2881A,2019-05-30,2019-05-31,65.3,65.3,0.0,1,失敗
3296,2019-05-30,2019-05-31,17.7,17.65,-0.28,1,失敗
